Date,Open,High,Low,Close,Volume
05/08/2020,"20.42","21.53","18.80","20.18","23,698,461"
05/07/2020,"18.97","21.00","18.57","19.84","24,927,580"
05/06/2020,"17.75","18.95","16.70","18.50","23,781,250"
05/05/2020,"16.98","17.37","16.37","16.62","7,678,385"
05/04/2020,"16.96","17.48","15.90","16.68","6,632,491"
05/01/2020,"17.01","18.10","15.55","17.92","15,421,530"
04/30/2020,"18.00","18.17","17.22","17.62","6,603,412"
04/29/2020,"17.89","18.86","17.80","18.23","9,394,462"
04/28/2020,"18.41","18.83","17.33","17.56","10,190,930"
04/27/2020,"17.26","18.46","16.57","17.89","14,106,580"
04/24/2020,"16.67","17.23","16.00","17.02","7,960,071"
04/23/2020,"17.33","17.67","16.38","16.66","7,805,673"
04/22/2020,"17.71","17.79","16.81","17.27","8,668,245"
04/21/2020,"18.09","18.90","16.56","16.87","11,508,010"
04/20/2020,"18.27","19.85","17.91","19.00","11,628,290"
04/17/2020,"19.21","19.60","18.50","18.90","9,028,710"
04/16/2020,"20.36","20.80","17.71","18.30","20,944,051"
04/15/2020,"18.11","21.07","17.62","19.98","31,677,561"
04/14/2020,"16.03","20.29","15.96","19.03","38,263,566"
04/13/2020,"15.59","15.78","14.81","15.46","6,593,044"
04/09/2020,"16.00","16.40","14.92","15.27","10,569,050"
04/08/2020,"14.45","15.66","14.11","15.36","12,291,420"
04/07/2020,"15.73","16.07","13.82","14.07","13,966,040"
04/06/2020,"13.46","14.49","13.04","14.30","11,421,000"
04/03/2020,"12.97","13.50","12.10","12.19","7,639,028"
04/02/2020,"12.94","13.80","12.40","12.96","8,597,590"
04/01/2020,"13.92","14.43","12.88","13.30","9,423,727"
03/31/2020,"14.87","15.96","14.55","14.78","9,288,293"
03/30/2020,"15.41","15.75","14.42","14.76","9,364,844"
03/27/2020,"16.40","16.40","15.11","15.38","10,919,390"
03/26/2020,"16.44","18.18","15.73","17.06","18,025,109"
03/25/2020,"17.79","18.39","15.40","16.00","23,013,150"
03/24/2020,"15.59","17.44","14.63","16.32","31,445,660"
03/23/2020,"11.73","13.34","11.01","12.97","16,785,529"
03/20/2020,"11.46","14.74","10.99","11.23","21,384,340"
03/19/2020,"10.08","11.40","9.40","10.49","10,850,520"
03/18/2020,"11.53","11.77","9.06","10.56","14,362,430"
03/17/2020,"12.36","13.43","11.19","12.66","12,118,230"
03/16/2020,"12.19","13.60","11.72","11.91","10,896,310"
03/13/2020,"15.52","15.78","13.48","14.69","12,044,660"
03/12/2020,"13.28","16.09","13.13","13.81","15,286,910"
03/11/2020,"17.92","18.26","15.50","16.41","13,784,350"
03/10/2020,"20.81","21.12","18.00","18.44","12,406,090"
03/09/2020,"18.39","20.37","17.00","19.44","13,307,670"
03/06/2020,"22.46","23.28","21.00","21.67","12,867,810"
03/05/2020,"22.68","24.34","22.03","24.09","14,124,110"
03/04/2020,"25.52","25.75","22.86","23.76","15,466,390"
03/03/2020,"26.90","27.45","23.76","24.71","20,098,109"
